"Country","Airline","Country of Origin","Main Airports in country"
"Peru","Air France","France","Peru: Jorge Chávez International Airport (LIM)"
"Philippines","Air France","France","Philippines: Ninoy Aquino International Airport (MNL)"
"Poland","Air France","France","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Air France","France","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Air France","France","Qatar: Hamad International Airport (DOH)"
"Réunion","Air France","France","Réunion: Roland Garros Airport (RUN)"
"Romania","Air France","France","Romania: Henri Coandă International Airport (OTP)"
"Russia","Air France","France","Russia: Sheremetyevo International Airport (SVO)"
"Rwanda","Air France","France","Rwanda: Kigali International Airport (KGL)"
"Saint Barthélemy","Air France","France","Saint Barthélemy: Gustaf III Airport (SBH)"
"Saint Martin","Air France","France","Saint Martin: Princess Juliana International Airport (SXM)"
"Saint Pierre and Miquelon","Air France","France","Saint Pierre and Miquelon: Saint-Pierre Airport (FSP)"
"Saudi Arabia","Air France","France","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Senegal","Air France","France","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","Air France","France","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","Air France","France","Seychelles: Seychelles International Airport (SEZ)"
"Singapore","Air France","France","Singapore: Singapore Changi Airport (SIN)"
"Slovenia","Air France","France","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"South Africa","Air France","France","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","Air France","France","South Korea: Incheon International Airport (ICN)"
"Spain","Air France","France","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Air France","France","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sudan","Air France","France","Sudan: Khartoum International Airport (KRT)"
"Suriname","Air France","France","Suriname: Johan Pengel International Airport (PBM)"
"Sweden","Air France","France","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Air France","France","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Air France","France","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Tanzania","Air France","France","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","Air France","France","Thailand: Suvarnabhumi Airport (BKK)"
"Togo","Air France","France","Togo: Lomé–Tokoin International Airport (LFW)"
"Trinidad and Tobago","Air France","France","Trinidad and Tobago: Piarco International Airport (POS)"
"Tunisia","Air France","France","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Air France","France","Turkey: Istanbul Airport (IST)"
"Uganda","Air France","France","Uganda: Entebbe International Airport (EBB)"
"Ukraine","Air France","France","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Air France","France","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Air France","France","United Kingdom: London Heathrow Airport (LHR)"
"United States","Air France","France","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Vanuatu","Air France","France","Vanuatu: Bauerfield International Airport (VLI)"
"Venezuela","Air France","France","Venezuela: Simón Bolívar International Airport (CCS)"
"Vietnam","Air France","France","Vietnam: Noi Bai International Airport (HAN)"
"Wallis and Futuna","Air France","France","Wallis and Futuna: Wallis Island Airport (WLS)"
"Yemen","Air France","France","Yemen: Aden International Airport (ADE)"
"Zambia","Air France","France","Zambia: Kenneth Kaunda International Airport (LUN)"
"Zimbabwe","Air France","France","Zimbabwe: Robert Gabriel Mugabe International Airport (HRE)"
"Albania","Transavia France","France","Albania: Tirana International Airport (TIA)"
"Austria","Transavia France","France","Austria: Vienna International Airport (VIE)"
"Belgium","Transavia France","France","Belgium: Brussels Airport (BRU)"
"Bulgaria","Transavia France","France","Bulgaria: Sofia Airport (SOF)"
"Cape Verde","Transavia France","France","Cape Verde: Nelson Mandela International Airport (RAI)"
"Croatia","Transavia France","France","Croatia: Zagreb Airport (ZAG)"
"Cyprus","Transavia France","France","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Transavia France","France","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Transavia France","France","Denmark: Copenhagen Airport (CPH)"
"Egypt","Transavia France","France","Egypt: Cairo International Airport (CAI)"
"Finland","Transavia France","France","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Transavia France","France","France: Paris Charles de Gaulle Airport (CDG)"
"Georgia","Transavia France","France","Georgia: Tbilisi International Airport (TBS)"
"Greece","Transavia France","France","Greece: Athens International Airport (ATH)"
"Hungary","Transavia France","France","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Transavia France","France","Iceland: Keflavík International Airport (KEF)"
"Israel","Transavia France","France","Israel: Ben Gurion Airport (TLV)"
"Italy","Transavia France","France","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jordan","Transavia France","France","Jordan: Queen Alia International Airport (AMM)"
"Latvia","Transavia France","France","Latvia: Riga International Airport (RIX)"
"Lebanon","Transavia France","France","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Morocco","Transavia France","France","Morocco: Mohammed V International Airport (CMN)"
"Netherlands","Transavia France","France","Netherlands: Amsterdam Airport Schiphol (AMS)"
"North Macedonia","Transavia France","France","North Macedonia: Skopje International Airport (SKP)"
"Norway","Transavia France","France","Norway: Oslo Airport"
"Poland","Transavia France","France","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Transavia France","France","Portugal: Lisbon Portela Airport (LIS)"
"Serbia","Transavia France","France","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Slovenia","Transavia France","France","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"Spain","Transavia France","France","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sweden","Transavia France","France","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Transavia France","France","Switzerland: Zurich Airport (ZRH)"
"Tunisia","Transavia France","France","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Transavia France","France","Turkey: Istanbul Airport (IST)"
"United Arab Emirates","Transavia France","France","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Transavia France","France","United Kingdom: London Heathrow Airport (LHR)"
"Albania","Lufthansa","Germany","Albania: Tirana International Airport (TIA)"
"Angola","Lufthansa","Germany","Angola: Quatro de Fevereiro Airport (LAD)"
"Argentina","Lufthansa","Germany","Argentina: Ministro Pistarini International Airport (EZE)"
"Armenia","Lufthansa","Germany","Armenia: Zvartnots International Airport (EVN)"
"Australia","Lufthansa","Germany","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Lufthansa","Germany","Austria: Vienna International Airport (VIE)"
"Bahrain","Lufthansa","Germany","Bahrain: Bahrain International Airport (BAH)"
"Bangladesh","Lufthansa","Germany","Bangladesh: Shahjalal International Airport (DAC)"
"Barbados","Lufthansa","Germany","Barbados: Grantley Adams International Airport (BGI)"
"Belgium","Lufthansa","Germany","Belgium: Brussels Airport (BRU)"
"Benin","Lufthansa","Germany","Benin: Cadjehoun Airport (COO)"
"Bolivia","Lufthansa","Germany","Bolivia: El Alto International Airport (LPB)"
"Bosnia and Herzegovina","Lufthansa","Germany","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","Lufthansa","Germany","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"Bulgaria","Lufthansa","Germany","Bulgaria: Sofia Airport (SOF)"
"Burkina Faso","Lufthansa","Germany","Burkina Faso: Thomas Sankara International Airport Ouagadougou (OUA)"
"Canada","Lufthansa","Germany","Canada: Toronto Pearson International Airport (YYZ)"
"Cape Verde","Lufthansa","Germany","Cape Verde: Nelson Mandela International Airport (RAI)"
"Chile","Lufthansa","Germany","Chile: Arturo Merino Benítez International Airport (SCL)"
"China","Lufthansa","Germany","China: Beijing Capital International Airport (PEK)"
"Colombia","Lufthansa","Germany","Colombia: El Dorado International Airport (BOG)"
"Costa Rica","Lufthansa","Germany","Costa Rica: Juan Santamaría International Airport (SJO)"
"Croatia","Lufthansa","Germany","Croatia: Zagreb Airport (ZAG)"
"Cuba","Lufthansa","Germany","Cuba: José Martí International Airport (HAV)"
"Curaçao","Lufthansa","Germany","Curaçao: Curaçao International Airport (CUR)"
"Cyprus","Lufthansa","Germany","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Lufthansa","Germany","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Lufthansa","Germany","Denmark: Copenhagen Airport (CPH)"
"Dominican Republic","Lufthansa","Germany","Dominican Republic: Las Américas International Airport (SDQ)"
"Ecuador","Lufthansa","Germany","Ecuador: Mariscal Sucre International Airport (UIO)"
"Egypt","Lufthansa","Germany","Egypt: Cairo International Airport (CAI)"
"El Salvador","Lufthansa","Germany","El Salvador: El Salvador International Airport (SAL)"
"Estonia","Lufthansa","Germany","Estonia: Tallinn Airport (TLL)"
"Ethiopia","Lufthansa","Germany","Ethiopia: Addis Ababa Bole International Airport (ADD)"
"Finland","Lufthansa","Germany","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Lufthansa","Germany","France: Paris Charles de Gaulle Airport (CDG)"
"French Guiana","Lufthansa","Germany","French Guiana: Cayenne-Félix Eboué Airport (CAY)"
"Gabon","Lufthansa","Germany","Gabon: Léon-Mba International Airport (LBV)"
"Gambia","Lufthansa","Germany","Gambia: Banjul International Airport (BJL)"
"Germany","Lufthansa","Germany","Germany: Frankfurt Airport (FRA)"
"Ghana","Lufthansa","Germany","Ghana: Kotoka International Airport (ACC)"
"Greece","Lufthansa","Germany","Greece: Athens International Airport (ATH)"
"Guatemala","Lufthansa","Germany","Guatemala: La Aurora International Airport (GUA)"
"Guinea","Lufthansa","Germany","Guinea: Conakry International Airport (CKY)"
"Guyana","Lufthansa","Germany","Guyana: Cheddi Jagan International Airport (GEO)"
"Haiti","Lufthansa","Germany","Haiti: Toussaint Louverture International Airport (PAP)"
"Honduras","Lufthansa","Germany","Honduras: Toncontín International Airport (TGU)"
"Hong Kong","Lufthansa","Germany","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","Lufthansa","Germany","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Lufthansa","Germany","Iceland: Keflavík International Airport (KEF)"
"India","Lufthansa","Germany","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Lufthansa","Germany","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Iran","Lufthansa","Germany","Iran: Imam Khomeini International Airport (IKA)"
"Iraq","Lufthansa","Germany","Iraq: Baghdad International Airport (BGW)"
"Ireland","Lufthansa","Germany","Ireland: Dublin Airport (DUB)"
"Israel","Lufthansa","Germany","Israel: Ben Gurion Airport (TLV)"
"Italy","Lufthansa","Germany","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Ivory Coast","Lufthansa","Germany","Ivory Coast: Félix-Houphouët-Boigny International Airport (ABJ)"
"Jamaica","Lufthansa","Germany","Jamaica: Norman Manley International Airport (KIN)"
"Japan","Lufthansa","Germany","Japan: Tokyo Haneda Airport (HND)"
"Jordan","Lufthansa","Germany","Jordan: Queen Alia International Airport (AMM)"
"Kenya","Lufthansa","Germany","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","Lufthansa","Germany","Kuwait: Kuwait International Airport (KWI)"
"Latvia","Lufthansa","Germany","Latvia: Riga International Airport (RIX)"
"Lebanon","Lufthansa","Germany","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Liberia","Lufthansa","Germany","Liberia: Roberts International Airport (ROB)"
"Lithuania","Lufthansa","Germany","Lithuania: Vilnius International Airport (VNO)"
"Luxembourg","Lufthansa","Germany","Luxembourg: Luxembourg Airport (LUX)"
"Malaysia","Lufthansa","Germany","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Lufthansa","Germany","Maldives: Velana International Airport (MLE)"
"Malta","Lufthansa","Germany","Malta: Malta International Airport (MLA)"
"Martinique","Lufthansa","Germany","Martinique: Martinique Aimé Césaire International Airport (FDF)"
"Mauritius","Lufthansa","Germany","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Mexico","Lufthansa","Germany","Mexico: Mexico City International Airport (MEX)"
"Moldova","Lufthansa","Germany","Moldova: Chișinău International Airport (KIV)"
"Mongolia","Lufthansa","Germany","Mongolia: Chinggis Khaan International Airport (UBN)"
"Montenegro","Lufthansa","Germany","Montenegro: Podgorica Airport (TGD)"
"Morocco","Lufthansa","Germany","Morocco: Mohammed V International Airport (CMN)"
"Mozambique","Lufthansa","Germany","Mozambique: Maputo International Airport (MPM)"
"Namibia","Lufthansa","Germany","Namibia: Hosea Kutako International Airport (WDH)"
"Nepal","Lufthansa","Germany","Nepal: Tribhuvan International Airport (KTM)"
"Netherlands","Lufthansa","Germany","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Zealand","Lufthansa","Germany","New Zealand: Auckland Airport (AKL)"
"Nicaragua","Lufthansa","Germany","Nicaragua: Augusto C. Sandino International Airport (MGA)"
"Nigeria","Lufthansa","Germany","Nigeria: Murtala Muhammed International Airport (LOS)"
"North Macedonia","Lufthansa","Germany","North Macedonia: Skopje International Airport (SKP)"
"Norway","Lufthansa","Germany","Norway: Oslo Airport"
"Oman","Lufthansa","Germany","Oman: Muscat International Airport (MCT)"
"Pakistan","Lufthansa","Germany","Pakistan: Jinnah International Airport (KHI)"
"Panama","Lufthansa","Germany","Panama: Tocumen International Airport (PTY)"
"Paraguay","Lufthansa","Germany","Paraguay: Silvio Pettirossi International Airport (ASU)"
"Peru","Lufthansa","Germany","Peru: Jorge Chávez International Airport (LIM)"
"Philippines","Lufthansa","Germany","Philippines: Ninoy Aquino International Airport (MNL)"
"Poland","Lufthansa","Germany","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Lufthansa","Germany","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Lufthansa","Germany","Qatar: Hamad International Airport (DOH)"
"Romania","Lufthansa","Germany","Romania: Henri Coandă International Airport (OTP)"
"Russia","Lufthansa","Germany","Russia: Sheremetyevo International Airport (SVO)"
"Rwanda","Lufthansa","Germany","Rwanda: Kigali International Airport (KGL)"
"Saudi Arabia","Lufthansa","Germany","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Senegal","Lufthansa","Germany","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","Lufthansa","Germany","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","Lufthansa","Germany","Seychelles: Seychelles International Airport (SEZ)"
"Singapore","Lufthansa","Germany","Singapore: Singapore Changi Airport (SIN)"
"Slovakia","Lufthansa","Germany","Slovakia: Bratislava Airport (BTS)"
"Slovenia","Lufthansa","Germany","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"South Africa","Lufthansa","Germany","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","Lufthansa","Germany","South Korea: Incheon International Airport (ICN)"
"Spain","Lufthansa","Germany","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Lufthansa","Germany","Sri Lanka: Bandaranaike International Airport (CMB)"
"Suriname","Lufthansa","Germany","Suriname: Johan Pengel International Airport (PBM)"
"Sweden","Lufthansa","Germany","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Lufthansa","Germany","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Lufthansa","Germany","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Tanzania","Lufthansa","Germany","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","Lufthansa","Germany","Thailand: Suvarnabhumi Airport (BKK)"
"Trinidad and Tobago","Lufthansa","Germany","Trinidad and Tobago: Piarco International Airport (POS)"
"Tunisia","Lufthansa","Germany","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Lufthansa","Germany","Turkey: Istanbul Airport (IST)"
"Uganda","Lufthansa","Germany","Uganda: Entebbe International Airport (EBB)"
"Ukraine","Lufthansa","Germany","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Lufthansa","Germany","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Lufthansa","Germany","United Kingdom: London Heathrow Airport (LHR)"
"United States","Lufthansa","Germany","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Uruguay","Lufthansa","Germany","Uruguay: Carrasco International Airport (MVD)"
"Uzbekistan","Lufthansa","Germany","Uzbekistan: Tashkent International Airport (TAS)"
"Venezuela","Lufthansa","Germany","Venezuela: Simón Bolívar International Airport (CCS)"
"Vietnam","Lufthansa","Germany","Vietnam: Noi Bai International Airport (HAN)"
"Zambia","Lufthansa","Germany","Zambia: Kenneth Kaunda International Airport (LUN)"
"Albania","Eurowings","Germany","Albania: Tirana International Airport (TIA)"
"Austria","Eurowings","Germany","Austria: Vienna International Airport (VIE)"
"Bosnia and Herzegovina","Eurowings","Germany","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Bulgaria","Eurowings","Germany","Bulgaria: Sofia Airport (SOF)"
"Croatia","Eurowings","Germany","Croatia: Zagreb Airport (ZAG)"
"Cyprus","Eurowings","Germany","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Eurowings","Germany","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Eurowings","Germany","Denmark: Copenhagen Airport (CPH)"
"Estonia","Eurowings","Germany","Estonia: Tallinn Airport (TLL)"
"Finland","Eurowings","Germany","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Eurowings","Germany","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Eurowings","Germany","Germany: Frankfurt Airport (FRA)"
"Greece","Eurowings","Germany","Greece: Athens International Airport (ATH)"
"Hungary","Eurowings","Germany","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Eurowings","Germany","Iceland: Keflavík International Airport (KEF)"
"Ireland","Eurowings","Germany","Ireland: Dublin Airport (DUB)"
"Israel","Eurowings","Germany","Israel: Ben Gurion Airport (TLV)"
"Italy","Eurowings","Germany","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jamaica","Eurowings","Germany","Jamaica: Norman Manley International Airport (KIN)"
"Malta","Eurowings","Germany","Malta: Malta International Airport (MLA)"
"Morocco","Eurowings","Germany","Morocco: Mohammed V International Airport (CMN)"
"Netherlands","Eurowings","Germany","Netherlands: Amsterdam Airport Schiphol (AMS)"
"North Macedonia","Eurowings","Germany","North Macedonia: Skopje International Airport (SKP)"
"Norway","Eurowings","Germany","Norway: Oslo Airport"
"Oman","Eurowings","Germany","Oman: Muscat International Airport (MCT)"
"Portugal","Eurowings","Germany","Portugal: Lisbon Portela Airport (LIS)"
"Serbia","Eurowings","Germany","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Spain","Eurowings","Germany","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sweden","Eurowings","Germany","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Eurowings","Germany","Switzerland: Zurich Airport (ZRH)"
"Tunisia","Eurowings","Germany","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Eurowings","Germany","Turkey: Istanbul Airport (IST)"
"United Arab Emirates","Eurowings","Germany","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Eurowings","Germany","United Kingdom: London Heathrow Airport (LHR)"
"United States","Eurowings","Germany","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Antigua and Barbuda","Condor","Germany","Antigua and Barbuda: V. C. Bird International Airport (ANU)"
"Aruba","Condor","Germany","Aruba: Queen Beatrix International Airport (AUA)"
"Barbados","Condor","Germany","Barbados: Grantley Adams International Airport (BGI)"
"Bolivia","Condor","Germany","Bolivia: El Alto International Airport (LPB)"
"Brazil","Condor","Germany","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"Canada","Condor","Germany","Canada: Toronto Pearson International Airport (YYZ)"
"Cape Verde","Condor","Germany","Cape Verde: Nelson Mandela International Airport (RAI)"
"Costa Rica","Condor","Germany","Costa Rica: Juan Santamaría International Airport (SJO)"
"Cuba","Condor","Germany","Cuba: José Martí International Airport (HAV)"
"Curaçao","Condor","Germany","Curaçao: Curaçao International Airport (CUR)"
"Dominican Republic","Condor","Germany","Dominican Republic: Las Américas International Airport (SDQ)"
"Ecuador","Condor","Germany","Ecuador: Mariscal Sucre International Airport (UIO)"
"El Salvador","Condor","Germany","El Salvador: El Salvador International Airport (SAL)"
"Germany","Condor","Germany","Germany: Frankfurt Airport (FRA)"
"Greece","Condor","Germany","Greece: Athens International Airport (ATH)"
"Grenada","Condor","Germany","Grenada: Maurice Bishop International Airport (GND)"
"Guatemala","Condor","Germany","Guatemala: La Aurora International Airport (GUA)"
"Jamaica","Condor","Germany","Jamaica: Norman Manley International Airport (KIN)"
"Mexico","Condor","Germany","Mexico: Mexico City International Airport (MEX)"
"Nicaragua","Condor","Germany","Nicaragua: Augusto C. Sandino International Airport (MGA)"
"Panama","Condor","Germany","Panama: Tocumen International Airport (PTY)"
"Peru","Condor","Germany","Peru: Jorge Chávez International Airport (LIM)"
"Saint Lucia","Condor","Germany","Saint Lucia: Hewanorra International Airport (UVF)"
"Saint Vincent and the Grenadines","Condor","Germany","Saint Vincent and the Grenadines: Argyle International Airport (SVD)"
"Suriname","Condor","Germany","Suriname: Johan Pengel International Airport (PBM)"
"Thailand","Condor","Germany","Thailand: Suvarnabhumi Airport (BKK)"
"Trinidad and Tobago","Condor","Germany","Trinidad and Tobago: Piarco International Airport (POS)"
"Turkey","Condor","Germany","Turkey: Istanbul Airport (IST)"
"United States","Condor","Germany","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Albania","SunExpress","Germany","Albania: Tirana International Airport (TIA)"
"Austria","SunExpress","Germany","Austria: Vienna International Airport (VIE)"
"Bulgaria","SunExpress","Germany","Bulgaria: Sofia Airport (SOF)"
"Cyprus","SunExpress","Germany","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","SunExpress","Germany","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","SunExpress","Germany","Denmark: Copenhagen Airport (CPH)"
"Estonia","SunExpress","Germany","Estonia: Tallinn Airport (TLL)"
"Finland","SunExpress","Germany","Finland: Helsinki-Vantaa Airport (HEL)"
"France","SunExpress","Germany","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","SunExpress","Germany","Germany: Frankfurt Airport (FRA)"
"Greece","SunExpress","Germany","Greece: Athens International Airport (ATH)"
"Hungary","SunExpress","Germany","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Ireland","SunExpress","Germany","Ireland: Dublin Airport (DUB)"
"Italy","SunExpress","Germany","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Latvia","SunExpress","Germany","Latvia: Riga International Airport (RIX)"
"Lithuania","SunExpress","Germany","Lithuania: Vilnius International Airport (VNO)"
"Malta","SunExpress","Germany","Malta: Malta International Airport (MLA)"
"Netherlands","SunExpress","Germany","Netherlands: Amsterdam Airport Schiphol (AMS)"
"North Macedonia","SunExpress","Germany","North Macedonia: Skopje International Airport (SKP)"
"Norway","SunExpress","Germany","Norway: Oslo Airport"
"Poland","SunExpress","Germany","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","SunExpress","Germany","Portugal: Lisbon Portela Airport (LIS)"
"Romania","SunExpress","Germany","Romania: Henri Coandă International Airport (OTP)"
"Spain","SunExpress","Germany","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sweden","SunExpress","Germany","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","SunExpress","Germany","Switzerland: Zurich Airport (ZRH)"
"Turkey","SunExpress","Germany","Turkey: Istanbul Airport (IST)"
"United Kingdom","SunExpress","Germany","United Kingdom: London Heathrow Airport (LHR)"
"Antigua and Barbuda","Discover Airlines","Germany","Antigua and Barbuda: V. C. Bird International Airport (ANU)"
"Aruba","Discover Airlines","Germany","Aruba: Queen Beatrix International Airport (AUA)"
"Barbados","Discover Airlines","Germany","Barbados: Grantley Adams International Airport (BGI)"
"Canada","Discover Airlines","Germany","Canada: Toronto Pearson International Airport (YYZ)"
"Cayman Islands","Discover Airlines","Germany","Cayman Islands: Owen Roberts International Airport (GCM)"
"Dominican Republic","Discover Airlines","Germany","Dominican Republic: Las Américas International Airport (SDQ)"
"Germany","Discover Airlines","Germany","Germany: Frankfurt Airport (FRA)"
"Greece","Discover Airlines","Germany","Greece: Athens International Airport (ATH)"
"Jamaica","Discover Airlines","Germany","Jamaica: Norman Manley International Airport (KIN)"
"Mexico","Discover Airlines","Germany","Mexico: Mexico City International Airport (MEX)"
"Punta Cana (Dominican Republic)","Discover Airlines","Germany","Punta Cana (Dominican Republic): Punta Cana International Airport (PUJ)"
"United States","Discover Airlines","Germany","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Albania","Aegean Airlines","Greece","Albania: Tirana International Airport (TIA)"
"Armenia","Aegean Airlines","Greece","Armenia: Zvartnots International Airport (EVN)"
"Austria","Aegean Airlines","Greece","Austria: Vienna International Airport (VIE)"
"Bahrain","Aegean Airlines","Greece","Bahrain: Bahrain International Airport (BAH)"
"Belgium","Aegean Airlines","Greece","Belgium: Brussels Airport (BRU)"
"Bulgaria","Aegean Airlines","Greece","Bulgaria: Sofia Airport (SOF)"
"Croatia","Aegean Airlines","Greece","Croatia: Zagreb Airport (ZAG)"
"Cyprus","Aegean Airlines","Greece","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Aegean Airlines","Greece","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Aegean Airlines","Greece","Denmark: Copenhagen Airport (CPH)"
"Egypt","Aegean Airlines","Greece","Egypt: Cairo International Airport (CAI)"
"France","Aegean Airlines","Greece","France: Paris Charles de Gaulle Airport (CDG)"
"Georgia","Aegean Airlines","Greece","Georgia: Tbilisi International Airport (TBS)"
"Germany","Aegean Airlines","Greece","Germany: Frankfurt Airport (FRA)"
"Greece","Aegean Airlines","Greece","Greece: Athens International Airport (ATH)"
"Hungary","Aegean Airlines","Greece","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iraq","Aegean Airlines","Greece","Iraq: Baghdad International Airport (BGW)"
"Ireland","Aegean Airlines","Greece","Ireland: Dublin Airport (DUB)"
"Israel","Aegean Airlines","Greece","Israel: Ben Gurion Airport (TLV)"
"Italy","Aegean Airlines","Greece","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jordan","Aegean Airlines","Greece","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Aegean Airlines","Greece","Kazakhstan: Almaty International Airport (ALA)"
"Lebanon","Aegean Airlines","Greece","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Luxembourg","Aegean Airlines","Greece","Luxembourg: Luxembourg Airport (LUX)"
"Malta","Aegean Airlines","Greece","Malta: Malta International Airport (MLA)"
"Moldova","Aegean Airlines","Greece","Moldova: Chișinău International Airport (KIV)"
"Montenegro","Aegean Airlines","Greece","Montenegro: Podgorica Airport (TGD)"
"Netherlands","Aegean Airlines","Greece","Netherlands: Amsterdam Airport Schiphol (AMS)"
"North Macedonia","Aegean Airlines","Greece","North Macedonia: Skopje International Airport (SKP)"
"Poland","Aegean Airlines","Greece","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Aegean Airlines","Greece","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Aegean Airlines","Greece","Qatar: Hamad International Airport (DOH)"
"Romania","Aegean Airlines","Greece","Romania: Henri Coandă International Airport (OTP)"
"Russia","Aegean Airlines","Greece","Russia: Sheremetyevo International Airport (SVO)"
"Saudi Arabia","Aegean Airlines","Greece","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Serbia","Aegean Airlines","Greece","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Slovakia","Aegean Airlines","Greece","Slovakia: Bratislava Airport (BTS)"
